username,full_name,twitter_url,tweet_text,tweet_time,number_of_likes,no_of_retweets,no_of_replies,mentions,no_of_mentions,hashtags,no_of_hashtags,call_to_action,image_url
jprcitypalace,"City Palace, Jaipur",https://twitter.com/JprCityPalace/status/1302517699629572097,"""~ Royal Textiles At The Jaipur Court  ~

(Late 18th century)⏳️

Large fragments of a carriage cover of embroidered velvet which once belonged to the royal stores of Amber.. 

#Textile #TextileDesigner #TextileGallery #MSMSIIMuseum #Museum #Jaipur #Past #History #Royal #Royalty… https",2020-09-06 01:03:00,8,2,3,,0,Textile | TextileDesigner | TextileGallery | MSMSIIMuseum | Museum | Jaipur | Past | History | Royal | Royalty,10,,https://pbs.twimg.com/media/EhN439rUwAAmyly.jpg
dw_environment,DW Global Ideas & Environment,https://twitter.com/dw_environment/status/1302977421948235782,"""The #textile industry is seen as one of the biggest #environmental #polluters, but that’s not to say that some designers aren’t employing eco-friendly practices, like, Ricância Agira in Mozambique 🧵♻️✂️… https",2020-09-07 07:30:00,12,6,1,,0,textile | environmental | polluters,3,,
poppyszaybo,poppyszaybo,https://twitter.com/poppyszaybo/status/1302143634603679745,"""Water droplets on mesh in a field of kohlrabi providing inspiration for new #textile pieces #Suffolk… """,2020-09-05 00:16:00,6,,0,,0,textile | Suffolk,2,,https://pbs.twimg.com/media/EhIkutWXsAEDESS.jpg
azaone1,AZA-one,https://twitter.com/AZAone1/status/1302316617989226503,"""The baorisa hieroglyphica moth textil fabric embroidery wire ..#ArtistOnTwitter #embroidery #crafts #textile… """,2020-09-05 11:44:00,3,1,0,,0,ArtistOnTwitter | embroidery | crafts | textile,4,,https://pbs.twimg.com/media/EhLBmIoXYAEK5WT.jpg
notsammyray,𝚜𝚊𝚖𝚖𝚢 𝚛𝚊𝚢 _ 𝚋𝚕𝚖,https://twitter.com/notsammyray/status/1302118614431141888,"""#LANA",2020-09-04 22:37:00,1,,0,,0,LANA,1,,
superyachtfan,SuperYachtFan,https://twitter.com/Superyachtfan/status/1302251619531264000,"""Just another day a the #office.
 
The new 107m (351ft) #Benetti yacht #Lana and the 140m (459ft) #Fincantieri #yacht Ocean Victory
 
📷 Raphael Belly via @Superyachtfan 
 
https",2020-09-05 07:25:00,3,2,0,Superyachtfan,1,office | Benetti | Lana | Fincantieri | yacht,5,,https://pbs.twimg.com/media/EhKG8ZIXgAIV3x_.jpg
,,https://twitter.com/babykasaa/status/1302013917342949389,"""Oha dur #seda… """,2020-09-04 15:41:00,1,,1,,0,seda,1,,
trumatejidos,truma Tejidos,https://twitter.com/TRUMATEJIDOS/status/1300425329325101057,"""Hoy tenīamos ganas de algo simple.. panal dos agujas seda o algodón. REMERA Y LISTO! 
Tejemos para vos y enviamos a todo el país.
#knitting #algodón #seda #hechoamano✔ #tiendaonlineargentina #tiendaderopa… https",2020-08-31 06:28:00,,,0,,0,knitting | algodón | seda | hechoamano | tiendaonlinearg | tiendaderopa,6,,
superyachtfan,SuperYachtFan,https://twitter.com/Superyachtfan/status/1302255054225891328,"""Crew ops
 
The new 107m (351ft) @BenettiYachts Lana
 
📷 Raphael Belly via @superyachtfan 
 
https",2020-09-05 07:39:00,6,4,0,BenettiYachts | superyachtfan,2,,0,,https://pbs.twimg.com/media/EhKKC8VWoAAfpSL.jpg
poopooheadshit,peanut tiddies,https://twitter.com/poopooheadshit/status/1301918778494648322,"""Me everyday",2020-09-04 09:23:00,1,,0,,0,,0,,https://pbs.twimg.com/media/EhFYOY9VkAIimz3.jpg
